anno,pct_almeno_piu_volta_sett,pct_ha_amici_su_cui_contare,pct_molto_soddisfatti_relazioni_amicali,n_finale,sm_almeno_piu_volta_sett,sm_ha_amici_su_cui_contare,sm_molto_soddisfatti_relazioni_amicali
2013,79.03,74.19,46.77,62,78.12,80.48,47.28
2014,77.21,86.76,47.79,136,76.11,80.93,47.97
2015,72.08,81.82,49.35,154,77.52,81.53,50.86
2016,81.75,83.33,59.52,126,75.93,81.44,49.34
2017,69.59,81.08,43.24,148,73.89,81.96,49.26
2018,68.84,76.81,46.38,138,71.53,79.58,48.0
2019,65.41,74.84,41.51,159,70.82,78.18,46.94
2020,68.53,74.83,44.06,143,64.17,77.15,42.07
2021,48.48,78.18,35.15,165,60.69,75.2,42.1
2022,52.21,71.32,43.38,136,59.78,75.81,41.98
2023,64.25,79.89,45.81,179,60.43,76.27,41.75
2024,68.67,77.11,40.36,166,58.4,76.63,41.18
