year,ref_area,territory,selected_expenditure_eur,family_minors_total_expenditure_eur,istat_family_minors_eur_per_target,implied_population_0_17,composite_eur_per_0_17
2021,ITC4,Lombardia,24593768,614077247,383,1603334.8485639687,15.339133944495423
2021,T03040,Bellano,267006,3170973,405,7829.562962962963,34.102286585221634
2021,T03054,Caratese,286599,7003947,279,25103.752688172044,11.416579965553709
2021,T03041,Lecchese,407603,5883358,228,25804.201754385966,15.795993376571678
2021,T03010,Isola Bergamasca,533979,4688250,199,23559.045226130653,22.66556199008159
2021,T03042,Meratese,164744,3438320,176,19535.909090909092,8.432881174527095
2022,ITC4,Lombardia,23470735,628884393,397,1584091.670025189,14.816525737823486
2022,T03040,Bellano,340882,3575871,466,7673.542918454936,44.423026445864515
2022,T03054,Caratese,341477,7016579,283,24793.565371024735,13.772807375218036
2022,T03041,Lecchese,349694,6950826,278,25002.97122302158,13.98609776737326
2022,T03010,Isola Bergamasca,351025,4554509,192,23721.401041666668,14.797819040427848
2022,T03042,Meratese,131426,3496454,182,19211.285714285714,6.841082994370868
2023,ITC4,Lombardia,25590160,661681657,423,1564259.2364066194,16.35928329807093
2023,T03040,Bellano,191117,3737698,496,7535.681451612903,25.361608134204527
2023,T03054,Caratese,403653,7058664,289,24424.442906574393,16.52660007616172
2023,T03041,Lecchese,314969,7281575,296,24599.91554054054,12.803661845136526
2023,T03010,Isola Bergamasca,247618,4280705,183,23391.830601092897,10.585661473986177
2023,T03042,Meratese,156735,3953289,209,18915.258373205743,8.286167543025567
