codice_comune,comune_key,comune_fonte,anno,pop_totale,pop_15_29,m0602_corrente_impegni,m0602_capitale_impegni,spesa_corrente_totale_impegni,eur_m0602_per_abitante,eur_m0602_per_giovane_15_29,pct_spesa_corrente_m0602,m0602_zero,dato_bilancio_mancante
012001,agra,COMUNE DI AGRA,2024,385,41,0.0,0.0,366766.08,0.0,0.0,0.0,True,False
012002,albizzate,COMUNE DI ALBIZZATE,2024,5132,724,0.0,0.0,3448547.64,0.0,0.0,0.0,True,False
012003,angera,COMUNE DI ANGERA,2024,5361,748,5500.0,29502.0,4246460.5200000005,1.0259279985077412,7.352941176470588,0.1295196310926729,False,False
012004,arcisate,COMUNE DI ARCISATE,2024,9853,1479,0.0,0.0,6350971.46,0.0,0.0,0.0,True,False
012005,arsago seprio,COMUNE DI ARSAGO SEPRIO,2024,4723,671,0.0,0.0,3182909.62,0.0,0.0,0.0,True,False
012006,azzate,COMUNE DI AZZATE,2024,4616,686,2318.0,0.0,5683236.6,0.5021663778162911,3.379008746355685,0.04078661796343302,False,False
012007,azzio,COMUNE DI AZZIO,2024,771,113,0.0,0.0,594746.38,0.0,0.0,0.0,True,False
012008,barasso,COMUNE DI BARASSO,2024,1667,241,0.0,0.0,1059538.25,0.0,0.0,0.0,True,False
012010,bedero valcuvia,COMUNE DI BEDERO VALCUVIA,2024,655,87,676.52,0.0,417236.94,1.032854961832061,7.776091954022989,0.16214288217145872,False,False
012011,besano,COMUNE DI BESANO,2024,2511,402,2000.0,0.0,1852106.05,0.7964954201513341,4.975124378109452,0.10798517719868148,False,False
012012,besnate,COMUNE DI BESNATE,2024,5467,835,0.0,0.0,3549965.62,0.0,0.0,0.0,True,False
012013,besozzo,COMUNE DI BESOZZO,2024,8758,1307,14133.53,0.0,6225476.31,1.6137851107558805,10.81371843917368,0.22702728749119605,False,False
012014,biandronno,COMUNE DI BIANDRONNO,2024,3175,443,0.0,0.0,1843926.59,0.0,0.0,0.0,True,False
012015,bisuschio,COMUNE DI BISUSCHIO,2024,4281,612,0.0,0.0,3103029.3,0.0,0.0,0.0,True,False
012016,bodio lomnago,COMUNE DI BODIO LOMNAGO,2024,2260,311,2326.38,0.0,1737752.03,1.0293716814159293,7.48032154340836,0.13387295539513772,False,False
012017,brebbia,COMUNE DI BREBBIA,2024,3117,445,0.0,0.0,2217723.98,0.0,0.0,0.0,True,False
012019,brenta,COMUNE DI BRENTA,2024,1730,259,0.0,0.0,1114695.43,0.0,0.0,0.0,True,False
012020,brezzo di bedero,COMUNE DI BREZZO DI BEDERO,2024,1209,170,0.0,0.0,1292957.31,0.0,0.0,0.0,True,False
012021,brinzio,COMUNE DI BRINZIO,2024,772,124,0.0,0.0,514594.53,0.0,0.0,0.0,True,False
012022,brissago valtravaglia,COMUNE DI BRISSAGO-VALTRAVAGLIA,2024,1308,190,0.0,0.0,837653.67,0.0,0.0,0.0,True,False
012023,brunello,COMUNE DI BRUNELLO,2024,922,164,1800.0,0.0,816465.27,1.9522776572668112,10.975609756097562,0.2204625311251757,False,False
012024,brusimpiano,COMUNE DI BRUSIMPIANO,2024,1180,179,0.0,0.0,1104220.94,0.0,0.0,0.0,True,False
012025,buguggiate,COMUNE DI BUGUGGIATE,2024,3118,452,11590.0,0.0,3095710.49,3.7171263630532394,25.641592920353983,0.37438901465233587,False,False
