comune,comune_key,codice_istat,pop_totale,pop_15_29,pop_data_riferimento,fonte
Airuno,airuno,097002,2868,462,2024-01-01,"ISTAT EsploraDati SDMX, 22_289_DF_DCIS_POPRES1_24"
Barzago,barzago,097005,2362,372,2024-01-01,"ISTAT EsploraDati SDMX, 22_289_DF_DCIS_POPRES1_24"
Barzanò,barzano,097006,5039,753,2024-01-01,"ISTAT EsploraDati SDMX, 22_289_DF_DCIS_POPRES1_24"
Brivio,brivio,097010,4419,737,2024-01-01,"ISTAT EsploraDati SDMX, 22_289_DF_DCIS_POPRES1_24"
Calco,calco,097012,5411,826,2024-01-01,"ISTAT EsploraDati SDMX, 22_289_DF_DCIS_POPRES1_24"
Casatenovo,casatenovo,097016,13286,1929,2024-01-01,"ISTAT EsploraDati SDMX, 22_289_DF_DCIS_POPRES1_24"
Cassago Brianza,cassago brianza,097017,4425,644,2024-01-01,"ISTAT EsploraDati SDMX, 22_289_DF_DCIS_POPRES1_24"
Cernusco Lombardone,cernusco lombardone,097020,3845,608,2024-01-01,"ISTAT EsploraDati SDMX, 22_289_DF_DCIS_POPRES1_24"
Cremella,cremella,097028,1663,260,2024-01-01,"ISTAT EsploraDati SDMX, 22_289_DF_DCIS_POPRES1_24"
Imbersago,imbersago,097039,2482,348,2024-01-01,"ISTAT EsploraDati SDMX, 22_289_DF_DCIS_POPRES1_24"
La Valletta Brianza,la valletta brianza,097092,4644,790,2024-01-01,"ISTAT EsploraDati SDMX, 22_289_DF_DCIS_POPRES1_24"
Lomagna,lomagna,097044,5020,728,2024-01-01,"ISTAT EsploraDati SDMX, 22_289_DF_DCIS_POPRES1_24"
Merate,merate,097048,14882,2161,2024-01-01,"ISTAT EsploraDati SDMX, 22_289_DF_DCIS_POPRES1_24"
Missaglia,missaglia,097049,8903,1263,2024-01-01,"ISTAT EsploraDati SDMX, 22_289_DF_DCIS_POPRES1_24"
Montevecchia,montevecchia,097053,2681,409,2024-01-01,"ISTAT EsploraDati SDMX, 22_289_DF_DCIS_POPRES1_24"
Monticello Brianza,monticello brianza,097054,4123,589,2024-01-01,"ISTAT EsploraDati SDMX, 22_289_DF_DCIS_POPRES1_24"
Olgiate Molgora,olgiate molgora,097058,6284,925,2024-01-01,"ISTAT EsploraDati SDMX, 22_289_DF_DCIS_POPRES1_24"
Osnago,osnago,097061,4712,738,2024-01-01,"ISTAT EsploraDati SDMX, 22_289_DF_DCIS_POPRES1_24"
Paderno d'Adda,paderno d adda,097062,3878,617,2024-01-01,"ISTAT EsploraDati SDMX, 22_289_DF_DCIS_POPRES1_24"
Robbiate,robbiate,097071,6324,1006,2024-01-01,"ISTAT EsploraDati SDMX, 22_289_DF_DCIS_POPRES1_24"
Santa Maria Hoè,santa maria hoe,097074,2113,357,2024-01-01,"ISTAT EsploraDati SDMX, 22_289_DF_DCIS_POPRES1_24"
Sirtori,sirtori,097076,2774,413,2024-01-01,"ISTAT EsploraDati SDMX, 22_289_DF_DCIS_POPRES1_24"
Verderio,verderio,097091,5452,927,2024-01-01,"ISTAT EsploraDati SDMX, 22_289_DF_DCIS_POPRES1_24"
Viganò,vigano,097090,2067,255,2024-01-01,"ISTAT EsploraDati SDMX, 22_289_DF_DCIS_POPRES1_24"
