FREQ,REF_AREA,Territorio,DATA_TYPE,Indicatore,CATEG_OF_BENEFICIARIES,Area di utenza,CATEGORY_OF_SERVICE,Servizio o intervento,TIME_PERIOD,Osservazione
A,ITC4,Lombardia,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,RICSOC,"Attività ricreative, sociali, culturali",2021,5997379
A,ITC4,Lombardia,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,EMPLOY,Sostegno all’inserimento lavorativo,2021,1046474
A,ITC4,Lombardia,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,CONTEMP,Contributi per l’inserimento lavorativo,2021,365930
A,ITC4,Lombardia,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,SUMDAYC,Centri diurni estivi,2021,12053068
A,ITC4,Lombardia,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,AGGRC,Centri di aggregazione / sociali,2021,5090509
A,ITC4,Lombardia,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,WSRESID,Centri estivi o invernali (con pernottamento),2021,40408
A,ITC4,Lombardia,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,ALL,Tutte le voci,2021,614077247
A,ITC4,Lombardia,EXPTPOP,Spesa dei comuni sulla popolazione di riferimento (euro),FAM,Famiglia e minori,ALL,Tutte le voci,2021,383
A,T03010,Distretto Isola Bergamasca,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,RICSOC,"Attività ricreative, sociali, culturali",2021,285563
A,T03010,Distretto Isola Bergamasca,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,EMPLOY,Sostegno all’inserimento lavorativo,2021,73213
A,T03010,Distretto Isola Bergamasca,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,CONTEMP,Contributi per l’inserimento lavorativo,2021,10450
A,T03010,Distretto Isola Bergamasca,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,SUMDAYC,Centri diurni estivi,2021,164753
A,T03010,Distretto Isola Bergamasca,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,AGGRC,Centri di aggregazione / sociali,2021,0
A,T03010,Distretto Isola Bergamasca,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,WSRESID,Centri estivi o invernali (con pernottamento),2021,0
A,T03010,Distretto Isola Bergamasca,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,ALL,Tutte le voci,2021,4688250
A,T03010,Distretto Isola Bergamasca,EXPTPOP,Spesa dei comuni sulla popolazione di riferimento (euro),FAM,Famiglia e minori,ALL,Tutte le voci,2021,199
A,T03040,Distretto di Bellano,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,RICSOC,"Attività ricreative, sociali, culturali",2021,69346
A,T03040,Distretto di Bellano,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,EMPLOY,Sostegno all’inserimento lavorativo,2021,123604
A,T03040,Distretto di Bellano,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,CONTEMP,Contributi per l’inserimento lavorativo,2021,0
A,T03040,Distretto di Bellano,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,SUMDAYC,Centri diurni estivi,2021,72181
A,T03040,Distretto di Bellano,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,AGGRC,Centri di aggregazione / sociali,2021,1875
A,T03040,Distretto di Bellano,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,WSRESID,Centri estivi o invernali (con pernottamento),2021,0
A,T03040,Distretto di Bellano,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,ALL,Tutte le voci,2021,3170973
A,T03040,Distretto di Bellano,EXPTPOP,Spesa dei comuni sulla popolazione di riferimento (euro),FAM,Famiglia e minori,ALL,Tutte le voci,2021,405
A,T03041,Distretto di Lecco,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,RICSOC,"Attività ricreative, sociali, culturali",2021,246849
A,T03041,Distretto di Lecco,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,EMPLOY,Sostegno all’inserimento lavorativo,2021,39290
A,T03041,Distretto di Lecco,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,CONTEMP,Contributi per l’inserimento lavorativo,2021,6200
A,T03041,Distretto di Lecco,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,SUMDAYC,Centri diurni estivi,2021,88272
A,T03041,Distretto di Lecco,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,AGGRC,Centri di aggregazione / sociali,2021,26992
A,T03041,Distretto di Lecco,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,WSRESID,Centri estivi o invernali (con pernottamento),2021,0
A,T03041,Distretto di Lecco,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,ALL,Tutte le voci,2021,5883358
A,T03041,Distretto di Lecco,EXPTPOP,Spesa dei comuni sulla popolazione di riferimento (euro),FAM,Famiglia e minori,ALL,Tutte le voci,2021,228
A,T03042,Distretto di Merate,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,RICSOC,"Attività ricreative, sociali, culturali",2021,68072
A,T03042,Distretto di Merate,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,EMPLOY,Sostegno all’inserimento lavorativo,2021,3161
A,T03042,Distretto di Merate,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,CONTEMP,Contributi per l’inserimento lavorativo,2021,0
A,T03042,Distretto di Merate,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,SUMDAYC,Centri diurni estivi,2021,89102
A,T03042,Distretto di Merate,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,AGGRC,Centri di aggregazione / sociali,2021,4409
A,T03042,Distretto di Merate,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,WSRESID,Centri estivi o invernali (con pernottamento),2021,0
A,T03042,Distretto di Merate,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,ALL,Tutte le voci,2021,3438320
A,T03042,Distretto di Merate,EXPTPOP,Spesa dei comuni sulla popolazione di riferimento (euro),FAM,Famiglia e minori,ALL,Tutte le voci,2021,176
A,T03054,Distretto di Carate Brianza,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,RICSOC,"Attività ricreative, sociali, culturali",2021,17058
A,T03054,Distretto di Carate Brianza,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,EMPLOY,Sostegno all’inserimento lavorativo,2021,0
A,T03054,Distretto di Carate Brianza,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,CONTEMP,Contributi per l’inserimento lavorativo,2021,7409
