comune,year,m0602_low_or_zero,alternative_youth_policy_found,mission_or_program,project_or_service,amount_if_known,source_url,confidence,evidence_scope,notes
Airuno,2024,yes,yes,Gestione associata Ambito di Merate,Util'Estate 2024,,https://www.merateonline.it/notizie/138582/merate-la-festa-di-util-estate-in-villaconfalonieri,high,direct_project_2024,"Partecipazione esplicitamente documentata: esperienza condivisa con Santa Maria Hoè. Il dato M06-P02 comunale resta 0."
Cernusco Lombardone,2024,yes,yes,Gestione associata Ambito di Merate,Util'Estate 2024,,https://www.merateonline.it/notizie/138582/merate-la-festa-di-util-estate-in-villaconfalonieri,high,direct_project_2024,"Partecipazione esplicitamente documentata: esperienza condivisa con Montevecchia. Il dato M06-P02 comunale resta 0."
Cremella,2024,yes,yes,Gestione associata Ambito di Merate,Util'Estate 2024,,https://www.merateonline.it/notizie/138582/merate-la-festa-di-util-estate-in-villaconfalonieri,high,direct_project_2024,"Partecipazione esplicitamente documentata: esperienza condivisa con Barzanò. Il dato M06-P02 comunale resta 0."
Merate,2024,yes,yes,Gestione associata Ambito di Merate,Util'Estate 2024,,https://www.merateonline.it/notizie/138582/merate-la-festa-di-util-estate-in-villaconfalonieri,high,direct_project_2024,"Due esperienze Util'Estate 2024 risultano svolte a Merate. Il dato M06-P02 comunale resta 0."
Monticello Brianza,2024,yes,yes,Gestione associata Ambito di Merate,Util'Estate 2024,,https://www.merateonline.it/notizie/138582/merate-la-festa-di-util-estate-in-villaconfalonieri,high,direct_project_2024,"Partecipazione esplicitamente documentata: esperienza condivisa con Sirtori. Il dato M06-P02 comunale resta 0."
Olgiate Molgora,2024,yes,yes,Gestione associata Ambito di Merate,Util'Estate 2024,,https://www.merateonline.it/notizie/138582/merate-la-festa-di-util-estate-in-villaconfalonieri,high,direct_project_2024,"Partecipazione esplicitamente documentata presso la Casa dei Ragazzi con Brivio e Calco. Il dato M06-P02 comunale resta 0."
Osnago,2024,yes,yes,Gestione associata Ambito di Merate,Util'Estate 2024,,https://www.comune.osnago.lc.it/it/news/campo-di-lavoro-per-gli-adolescenti-utilestate-2024-aperte-le-iscrizioni,high,direct_project_2024,"Il sito istituzionale documenta Util'Estate 2024 e specifica che l'iniziativa è promossa dalle amministrazioni comunali con Retesalute, Ambito di Merate e Consorzio Consolida. Il dato M06-P02 comunale resta 0."
Paderno d’Adda,2024,yes,yes,Gestione associata Ambito di Merate,Util'Estate speciale 2024,,https://www.merateonline.it/notizie/138582/merate-la-festa-di-util-estate-in-villaconfalonieri,high,direct_project_2024,"Partecipazione esplicitamente documentata all'esperienza digitale condivisa con Robbiate. Il dato M06-P02 comunale resta 0."
Robbiate,2024,yes,yes,Gestione associata Ambito di Merate,Util'Estate speciale 2024,,https://www.merateonline.it/notizie/138582/merate-la-festa-di-util-estate-in-villaconfalonieri,high,direct_project_2024,"Esperienza digitale Util'Estate speciale 2024 esplicitamente documentata con Paderno d'Adda. Il dato M06-P02 comunale resta 0."
Sirtori,2024,yes,yes,Gestione associata Ambito di Merate,Util'Estate 2024,,https://www.merateonline.it/notizie/138582/merate-la-festa-di-util-estate-in-villaconfalonieri,high,direct_project_2024,"Partecipazione esplicitamente documentata: esperienza condivisa con Monticello Brianza. Il dato M06-P02 comunale resta 0."
Barzago,2024,yes,yes,Servizio territoriale Piazza l'Idea,Piazza l'Idea - Lo SpazioGiovani 2.0,,https://www.halleyweb.com/c097005/zf/index.php/servizi-aggiuntivi/index/index/idtesto/20000,high,direct_service_2024,"Il sito ufficiale del Comune pubblicizza il servizio Piazza l'Idea il 6 aprile 2024. Da approfondire il canale contabile e l'eventuale quota comunale."
Lomagna,2024,yes,yes,Gestione associata Ambito di Merate,Street Art 2024 - Piazza l'Idea,,https://www.merateonline.it/notizie/135806/lomagna-2-nuovi-murales-con-la-street-art-dei-giovani,high,direct_project_2024,"Laboratorio realizzato nell'aprile 2024 con Piazza l'Idea e Retesalute e sostenuto dall'Amministrazione comunale. Il dato M06-P02 comunale resta 0."
Imbersago,2024,yes,yes,Politiche comunali e servizio territoriale,Mondo giovani / Piazza l'Idea / borse lavoro,,https://www.merateonline.it/public/filemanager/pub_files/2024/Luglio/Linee_programmatiche_amministrazione_2024-2029_prot_6.7.2024.pdf,high,programming_2024,"Le linee programmatiche comunali 2024-2029 citano iniziative giovanili, murales, borse lavoro e il sostegno a Piazza l'Idea curata da Retesalute. Il dato M06-P02 comunale resta 0."
La Valletta Brianza,2024,yes,yes,Politiche comunali di partecipazione,Consiglio Comunale dei ragazzi e delle ragazze 2024,,https://www.merateonline.it/notizie/136372/la-valletta-istituito-il-c-c-dei-ragazzi-e-delle-ragazze,high,direct_project_2024,"Il Consiglio comunale ha istituito nell'aprile 2024 il Consiglio dei ragazzi e delle ragazze come strumento di partecipazione attiva. Il servizio Scuola e Cultura del Comune include inoltre le politiche giovanili ricreative. Il dato M06-P02 comunale resta 0."
Verderio,2024,yes,yes,Intervento socioeducativo territoriale,Interventi educativi con ragazzi tramite Retesalute,,https://www.laprovinciaunicatv.it/stories/lecco/merate-e-casatese/verderio-arrivo-pattuglie-serali-o_2530158_11/,high,direct_intervention_2024,"Nell'ottobre 2024 il Comune annuncia interventi sul campo di operatori Retesalute con i ragazzi, accanto alle misure di prevenzione. È un intervento rivolto ai giovani contabilizzato fuori da M06-P02 o tramite gestione associata."
Cassago Brianza,2024,yes,probable,Gestione associata / servizi territoriali,Servizi educativi e politiche giovanili territoriali Retesalute / Piazza l'Idea,,https://www.retesalute.net/Sedi-e-Uffici/Uffici/Ufficio-Servizi-Educativi;https://www.piazzalidea.it/,medium,territorial_service,"Cassago è esplicitamente nel territorio servito dall'Area Servizi Educativi di Retesalute e Piazza l'Idea descrive le politiche giovanili come impegno delle 24 amministrazioni del territorio. Non è stato però identificato, in questa prima ricognizione, un progetto 2024 specificamente attribuito a Cassago o una quota di spesa comunale."
Missaglia,2024,yes,probable,Gestione associata / Retesalute,Servizi territoriali e politiche giovanili di Ambito,,https://www.hlservizicloud.it/pgt/sites/default/files/users/097049/BILANCI/ALLEGATI%20BILANCIO%202024-2026/Missaglia%20-%20Documento%20Unico%20di%20Programmazione%202024-2026%20-%20versione%20difinitiva.pdf;https://www.piazzalidea.it/,medium,territorial_service,"Il DUP 2024-2026 dichiara che il Comune utilizza i servizi di Retesalute, salvo eccezioni specifiche non riferite alle politiche giovanili; Piazza l'Idea è il servizio territoriale per le politiche giovanili. Non è stato ancora isolato un progetto 2024 con importo attribuibile a Missaglia."
Viganò,2024,yes,probable,Politiche comunali / gestione associata,Politiche giovanili e servizi educativi territoriali,,https://www.comune.vigano.lc.it/Amministrazione/Uffici/Ufficio-Servizi-Sociali;https://www.retesalute.net/Sedi-e-Uffici/Uffici/Ufficio-Servizi-Educativi,medium,institutional_and_territorial_service,"L'Ufficio Servizi Sociali del Comune include esplicitamente la gestione delle politiche giovanili e Retesalute include Viganò nel territorio dei servizi educativi. Non è stato ancora identificato un singolo progetto 2024 con importo attribuibile al Comune."
