comune,anno,motivo_audit,m0602_corrente_impegni,eur_m0602_per_giovane_15_29,alternative_youth_policy_found,mission_or_program,project_or_service,amount_if_known,source_url,confidence,notes
Airuno,2024,M06-P02 = 0,0.0,0.0,,,,,,,
Barzago,2024,M06-P02 = 0,0.0,0.0,,,,,,,
Cernusco Lombardone,2024,M06-P02 = 0,0.0,0.0,,,,,,,
Cassago Brianza,2024,M06-P02 = 0,0.0,0.0,,,,,,,
La Valletta Brianza,2024,M06-P02 = 0,0.0,0.0,,,,,,,
Cremella,2024,M06-P02 = 0,0.0,0.0,,,,,,,
Lomagna,2024,M06-P02 = 0,0.0,0.0,,,,,,,
Merate,2024,M06-P02 = 0,0.0,0.0,,,,,,,
Missaglia,2024,M06-P02 = 0,0.0,0.0,,,,,,,
Imbersago,2024,M06-P02 = 0,0.0,0.0,,,,,,,
Monticello Brianza,2024,M06-P02 = 0,0.0,0.0,,,,,,,
Olgiate Molgora,2024,M06-P02 = 0,0.0,0.0,,,,,,,
Paderno d’Adda,2024,M06-P02 = 0,0.0,0.0,,,,,,,
Osnago,2024,M06-P02 = 0,0.0,0.0,,,,,,,
Robbiate,2024,M06-P02 = 0,0.0,0.0,,,,,,,
Sirtori,2024,M06-P02 = 0,0.0,0.0,,,,,,,
Verderio,2024,M06-P02 = 0,0.0,0.0,,,,,,,
Viganò,2024,M06-P02 = 0,0.0,0.0,,,,,,,
